#id lon lat MIH hmax period
id03598 94.800000 15.100000 1.55 0.37 2594
id03599 94.600000 15.166700 1.32 0.31 2407
id03600 94.466700 15.266700 1.29 0.34 3381
id03601 94.366700 15.366700 1.03 0.27 3300
id03602 94.200000 15.466700 0.70 0.18 3081
id03603 94.122200 15.600000 0.99 0.17 1958
id03604 94.085700 15.800000 1.10 0.18 1099
id03605 94.100000 16.000000 0.74 0.12 674
id03606 94.091700 16.200000 0.59 0.12 1286
id03607 94.114800 16.400000 1.00 0.17 1218
id03608 94.166700 16.571400 0.87 0.15 1620
id03609 94.213700 16.766700 0.85 0.17 1019
id03610 94.300000 16.933300 0.64 0.12 731
id03611 94.316700 17.133300 0.74 0.14 224
id03612 94.333300 17.346700 0.74 0.15 1106
id03613 94.390900 17.533300 1.04 0.18 2009
id03614 94.366700 17.766700 0.61 0.12 1046
id03615 94.273300 17.900000 0.48 0.10 1311
id03616 94.133300 17.969200 0.55 0.12 2167
id03617 94.100000 18.087000 0.72 0.12 1169
id03618 94.200000 18.166700 0.85 0.15 2066
id03619 94.100000 18.300000 1.07 0.19 2179
id03620 93.900000 18.345800 0.88 0.16 2520
id03621 93.771800 18.466700 0.76 0.14 871
id03622 93.666700 18.581500 0.65 0.15 2280
id03623 93.553800 18.700000 0.73 0.14 1161
id03624 93.433300 18.826300 0.43 0.11 2908
id03625 93.448700 19.000000 0.37 0.09 2734
id03626 93.400000 19.173300 0.54 0.11 1425
id03627 93.293300 19.300000 0.61 0.12 1012
id03628 93.200000 19.444400 0.63 0.14 1773
id03629 93.127300 19.600000 0.68 0.13 719
id03630 92.985700 19.700000 0.49 0.09 854
id03631 92.842900 19.800000 0.50 0.11 1703
id03632 92.733300 19.926700 0.48 0.12 3130
id03633 92.600000 20.014800 0.76 0.16 1402
id03634 92.466700 20.100000 0.85 0.16 941
id03635 92.325000 20.200000 0.69 0.16 2272
id03636 92.133300 20.266700 0.74 0.15 1511
id03637 92.033300 20.400000 0.75 0.15 1298
id03638 91.950000 20.533300 0.78 0.14 457
id03639 91.866700 20.683300 0.66 0.14 1425
id03640 91.783300 20.833300 0.55 0.11 1479
id03641 91.700000 20.966700 0.60 0.12 1372
id03642 91.533300 21.057100 0.69 0.12 407
id03643 91.366700 20.966700 0.53 0.13 2716
id03644 91.233300 20.888900 0.55 0.13 2727
id03645 91.000000 20.880000 0.98 0.17 428
id03646 90.833300 20.960000 0.85 0.16 705
id03647 90.746700 21.100000 0.88 0.16 660
id03648 90.633300 21.233300 1.08 0.18 382
id03649 90.500000 21.300000 0.58 0.13 45
id03650 90.300000 21.366700 0.60 0.14 59
id03651 90.133300 21.413300 0.70 0.16 2219
id03652 89.933300 21.458300 0.67 0.16 2782
id03653 89.766700 21.526700 0.60 0.14 21
id03654 89.593300 21.533300 0.36 0.10 3427
id03655 89.466700 21.431800 0.40 0.09 1934
id03656 89.366700 21.296600 0.58 0.11 913
id03657 89.227800 21.200000 0.49 0.10 1473
id03658 89.114300 21.066700 0.48 0.09 1142
id03659 88.933300 21.029800 0.67 0.14 1507
id03660 88.766700 21.095200 0.81 0.16 1216
id03661 88.566700 21.105600 0.53 0.14 4458
id03662 88.366700 21.080000 0.67 0.15 2280
id03663 88.166700 21.040000 0.95 0.22 2369
id03664 88.000000 20.983300 0.88 0.21 2572
id03665 87.900000 20.866700 1.11 0.21 877
id03666 87.766700 20.833300 0.78 0.15 911
id03667 87.600000 20.808300 0.87 0.17 1222
id03668 87.466700 20.708300 0.90 0.17 755
id03669 87.366700 20.600000 1.03 0.20 1174
id03670 87.266700 20.458300 0.77 0.18 2407
id03671 87.166700 20.308300 0.92 0.18 1091
id03672 87.033300 20.216700 1.35 0.23 386
id03673 86.900000 20.104800 0.91 0.19 1418
id03674 86.766700 20.007400 1.23 0.24 960
id03675 86.600000 19.936700 1.23 0.25 1412
id03676 86.466700 19.838500 1.22 0.24 1096
id03677 86.300000 19.787000 1.19 0.24 1298
id03678 86.128600 19.733300 1.38 0.26 719
id03679 85.983300 19.666700 1.15 0.27 566
id03680 85.766700 19.673700 0.66 0.25 2250
id03681 85.566700 19.634400 1.36 0.28 187
id03682 85.463600 19.533300 1.02 0.32 1462
id03683 85.305600 19.433300 1.36 0.33 678
id03684 85.155600 19.366700 1.19 0.37 1365
id03685 85.063300 19.233300 1.29 0.33 750
id03686 84.966700 19.094400 0.96 0.31 1466
id03687 84.862500 18.966700 0.99 0.33 1590
id03688 84.738100 18.833300 1.50 0.36 626
id03689 84.633300 18.726700 0.82 0.30 2024
id03690 84.553300 18.566700 1.64 0.35 427
id03691 84.496300 18.400000 1.15 0.33 1099
id03692 84.366700 18.300000 1.23 0.35 1072
id03693 84.366700 18.192500 1.34 0.38 1030
id03694 84.233300 18.133300 1.79 0.37 239
id03695 84.100000 18.100000 1.56 0.40 779
id03696 83.930000 18.066700 1.32 0.37 1032
id03697 83.866700 17.900000 1.56 0.38 664
id03698 83.733300 17.790900 1.41 0.35 723
id03699 83.591700 17.700000 1.42 0.37 828
id03700 83.455600 17.600000 1.48 0.38 768
id03701 83.413900 17.400000 2.03 0.45 457
id03702 83.211100 17.366700 1.41 0.41 1153
id03703 83.033300 17.303300 1.72 0.40 554
id03704 82.866700 17.243300 1.42 0.40 1008
id03705 82.700000 17.170000 2.24 0.47 370
id03706 82.583300 17.066700 1.26 0.36 1076
id03707 82.480000 16.933300 1.22 0.36 1226
id03708 82.430800 16.766700 1.41 0.41 1103
id03709 82.366700 16.579200 0.92 0.30 1579
id03710 82.233300 16.470400 1.35 0.36 885
id03711 82.122200 16.366700 0.96 0.31 1593
id03712 81.966700 16.291700 1.47 0.34 566
id03713 81.768900 16.233300 1.19 0.28 558
id03714 81.600000 16.196100 1.24 0.28 89
id03715 81.433300 16.124100 0.97 0.29 1202
id03716 81.342700 15.966700 1.89 0.38 286
